'Aamir,1,0,"Arabic"
'Abbas,1,0,"Arabic,Persian"
'Abla,0,1,"Arabic"
'Ach'av,1,0,"Biblical Hebrew"
'Adalya',1,0,"Biblical Hebrew"
'Adinah,1,0,"Biblical Hebrew"
'Adoniyah,1,0,"Biblical Hebrew"
'Aisha,0,1,"Arabic"
'Ali,1,0,"Arabic"
'Amaryahu,1,0,"Biblical Hebrew"
'Ammar,1,0,"Arabic"
'Ari'el,1,0,"Biblical Hebrew"
'Asenat,0,1,"Biblical Hebrew"
'Ashtoret,0,1,"Biblical Hebrew,Near Eastern Mythology"
'Avi'el,1,0,"Biblical Hebrew"
'Avigayil,0,1,"Biblical Hebrew"
'Avima'el,1,0,"Biblical Hebrew"
'Avimelekh,1,0,"Biblical Hebrew"
'Avishay,1,0,"Biblical Hebrew"
'Aviyah,1,1,"Biblical Hebrew"
'Avshalom,1,0,"Biblical Hebrew"
'Azaryah,1,0,"Biblical Hebrew"
'Azazyahu,1,0,"Biblical Hebrew"
'Aziz,1,0,"Arabic"
'Azri'el,1,0,"Biblical Hebrew"
'Ednah,0,1,"Biblical Hebrew"
'Efrayim,1,0,"Biblical Hebrew"
'El'azar,1,0,"Biblical Hebrew"
'Eli'ezer,1,0,"Biblical Hebrew"
'Elifalet,1,0,"Biblical Hebrew"
'Elifelet,1,0,"Biblical Hebrew"
'Esaw,1,0,"Biblical Hebrew"
'Ester,0,1,"Biblical Hebrew"
'Ezra',1,0,"Biblical Hebrew"
'Ira',1,0,"Biblical Hebrew"
'Isam,1,0,"Arabic"
'Ismat,1,1,"Arabic"
'Ittay,1,0,"Biblical Hebrew"
'Iyyov,1,0,"Biblical Hebrew"
'Izevel,0,1,"Biblical Hebrew"
'Ofrah,1,0,"Biblical Hebrew"
'Orpah,0,1,"Biblical Hebrew"
'Ovadyah,1,0,"Biblical Hebrew"
'Uri,1,0,"Biblical Hebrew"
'Uriy'el,1,0,"Biblical Hebrew"
'Uriyah,1,0,"Biblical Hebrew"
'Uzziyyah,1,0,"Biblical Hebrew"
A'isha,0,1,"Arabic"
Aabraham,1,0,"Finnish (Rare)"
Aada,0,1,"Finnish"
Aadolf,1,0,"Finnish"
Aafje,0,1,"Dutch"
Aage,1,0,"Danish,Norwegian"
Aali,1,0,"Arabic"
Aalis,0,1,"Medieval French"
Aaliyah,0,1,"Arabic,English (Modern)"
Aamina,0,1,"Arabic"
Aaminah,0,1,"Arabic"
Aamir,1,0,"Arabic"
Aamu,0,1,"Finnish"
Aapeli,1,0,"Finnish"
Aapo,1,0,"Finnish"
Aaren,1,1,"English (Rare)"
Aarne,1,0,"Finnish"
Aaron,1,0,"Biblical,Biblical Greek,Biblical Latin,English,Jewish"
Aart,1,0,"Dutch"
Aarthi,0,1,"Tamil"
Aarti,0,1,"Hindi,Indian,Marathi"
Aarón,1,0,"Spanish"
Aatami,1,0,"Finnish"
Aatos,1,0,"Finnish"
Aatto,1,0,"Finnish"
Aatu,1,0,"Finnish"
Aava,0,1,"Finnish"
Abacuc,1,0,"Biblical Latin"
Abaddon,1,0,"Biblical"
Abbas,1,0,"Arabic,Persian"
Abbe,1,0,"Frisian"
Abbey,0,1,"English"
Abbi,0,1,"English"
Abbie,0,1,"English"
Abby,0,1,"English"
Abbán,1,0,"Irish"
Abd,1,0,"Arabic"
Abdias,1,0,"Biblical Latin"
Abdiou,1,0,"Biblical Greek"
Abdollah,1,0,"Persian"
Abdul,1,0,"Arabic,Bengali,Indonesian,Malay,Pashto,Punjabi,Urdu"
Abdul-aziz,1,0,"Arabic"
Abdul-hamid,1,0,"Arabic"
Abdul-rahman,1,0,"Arabic"
Abdulah,1,0,"Bosnian"
Abdullah,1,0,"Arabic,Indonesian,Malay,Turkish"
Abdullo,1,0,"Tajik"
Abdullohi,1,0,"Tajik"
Abdur-rahman,1,0,"Arabic"
Abdur-rashid,1,0,"Arabic"
Abdurakhman,1,0,"Chechen"
