Name,Gender,Origin
'Aamir,m,Arabic
'Abbas,m,"Arabic, Persian"
'Abla,f,Arabic
'Ach'av,m,Biblical Hebrew
'Adalya',m,Biblical Hebrew
'Adinah,m,Biblical Hebrew
'Adoniyah,m,Biblical Hebrew
'Aisha,f,Arabic
'Ali,m,Arabic
'Amaryahu,m,Biblical Hebrew
'Ammar,m,Arabic
'Ari'el,m,Biblical Hebrew
'Asenat,f,Biblical Hebrew
'Ashtoret,f,"Biblical Hebrew, Near Eastern Mythology"
'Avi'el,m,Biblical Hebrew
'Avigayil,f,Biblical Hebrew
'Avima'el,m,Biblical Hebrew
'Avimelekh,m,Biblical Hebrew
'Avishay,m,Biblical Hebrew
'Aviyah,"m, f",Biblical Hebrew
'Avshalom,m,Biblical Hebrew
'Azaryah,m,Biblical Hebrew
'Azazyahu,m,Biblical Hebrew
'Aziz,m,Arabic
'Azri'el,m,Biblical Hebrew
'Ednah,f,Biblical Hebrew
'Efrayim,m,Biblical Hebrew
'El'azar,m,Biblical Hebrew
'Eli'ezer,m,Biblical Hebrew
'Elifalet,m,Biblical Hebrew
'Elifelet,m,Biblical Hebrew
'Esaw,m,Biblical Hebrew
'Ester,f,Biblical Hebrew
'Ezra',m,Biblical Hebrew
'Ira',m,Biblical Hebrew
'Isam,m,Arabic
'Ismat,"m, f",Arabic
'Ittay,m,Biblical Hebrew
'Iyyov,m,Biblical Hebrew
'Izevel,f,Biblical Hebrew
'Ofrah,m,Biblical Hebrew
'Orpah,f,Biblical Hebrew
'Ovadyah,m,Biblical Hebrew
'Uri,m,Biblical Hebrew
'Uriy'el,m,Biblical Hebrew
'Uriyah,m,Biblical Hebrew
'Uzziyyah,m,Biblical Hebrew
A'isha,f,Arabic
Aabraham,m,Finnish (Rare)
Aada,f,Finnish
Aadolf,m,Finnish
Aafje,f,Dutch
Aage,m,"Danish, Norwegian"
Aali,m,Arabic
Aalis,f,Medieval French
Aaliyah,f,"Arabic, English (Modern)"
Aamina,f,Arabic
Aaminah,f,Arabic
Aamir,m,Arabic
Aamu,f,Finnish
Aapeli,m,Finnish
Aapo,m,Finnish
Aaren,"m, f",English (Rare)
Aarne,m,Finnish
Aaron,m,"Biblical, Biblical Greek, Biblical Latin, English, Jewish"
Aart,m,Dutch
Aarthi,f,Tamil
Aarti,f,"Hindi, Indian, Marathi"
Aarón,m,Spanish
Aatami,m,Finnish
Aatos,m,Finnish
Aatto,m,Finnish
Aatu,m,Finnish
Aava,f,Finnish
Abacuc,m,Biblical Latin
Abaddon,m,Biblical
Abbas,m,"Arabic, Persian"
Abbe,m,Frisian
Abbey,f,English
Abbi,f,English
Abbie,f,English
Abby,f,English
Abbán,m,Irish
Abd,m,Arabic
Abdias,m,Biblical Latin
Abdiou,m,Biblical Greek
Abdollah,m,Persian
Abdul,m,"Arabic, Bengali, Indonesian, Malay, Pashto, Punjabi, Urdu"
Abdul-aziz,m,Arabic
Abdul-hamid,m,Arabic
Abdul-rahman,m,Arabic
Abdulah,m,Bosnian
Abdullah,m,"Arabic, Indonesian, Malay, Turkish"
Abdullo,m,Tajik
Abdullohi,m,Tajik
Abdur-rahman,m,Arabic
Abdur-rashid,m,Arabic
Abdurakhman,m,Chechen
Abduweli,m,Uyghur
Abdülhami̇t,m,Turkish
Abdülkadi̇r,m,Turkish
Abdülkeri̇m,m,Turkish
Abdüllati̇f,m,Turkish
Abe,m,"Dutch, English, Frisian"
Abednego,m,Biblical
Abegail,f,English (Rare)
Abel,m,"Biblical, Biblical Greek, Biblical Latin, English, French, Georgian, Portuguese, Spanish"
Abele,m,Italian
Abelone,f,Danish
Abena,f,"Akan, Western African"
Abene,f,Basque
Abeni,f,"Western African, Yoruba"
Abenner,m,Biblical Greek
Aberash,f,"Amharic, Eastern African"
